"id","timestamp","open_price","high_price","low_price","close_price"
1257,2021-01-24 03:00:00.000,32078,33071,30900,32259.9
1258,2021-01-25 03:00:00.000,32259.45,34875,31910,32254.2
1259,2021-01-26 03:00:00.000,32254.19,32921.88,30837.37,32467.77
1260,2021-01-27 03:00:00.000,32464.01,32557.29,29241.72,30366.15
1261,2021-01-28 03:00:00.000,30362.19,33783.98,29842.1,33364.86
1262,2021-01-29 03:00:00.000,33368.18,38531.9,31915.4,34252.2
1263,2021-01-30 03:00:00.000,34246.28,34933,32825,34262.88
1264,2021-01-31 03:00:00.000,34262.89,34342.69,32171.67,33092.98
1265,2021-02-01 03:00:00.000,33092.97,34717.27,32296.16,33526.37
1266,2021-02-02 03:00:00.000,33517.09,35984.33,33418,35466.24
1267,2021-02-03 03:00:00.000,35472.71,37662.63,35362.38,37618.87
1268,2021-02-04 03:00:00.000,37620.26,38708.27,36161.95,36936.66
1269,2021-02-05 03:00:00.000,36936.65,38310.12,36570,38290.24
1270,2021-02-06 03:00:00.000,38289.32,40955.51,38215.94,39186.94
1271,2021-02-07 03:00:00.000,39181.01,39700,37351,38795.69
1272,2021-02-08 03:00:00.000,38795.69,46794.45,37988.89,46374.87
1273,2021-02-09 03:00:00.000,46374.86,48142.19,44961.09,46420.42
1274,2021-02-10 03:00:00.000,46420.42,47310,43727,44807.58
1275,2021-02-11 03:00:00.000,44807.58,48678.9,43994.02,47969.51
1276,2021-02-12 03:00:00.000,47968.66,48985.8,46125,47287.6
1277,2021-02-13 03:00:00.000,47298.15,48150,46202.53,47153.69
1278,2021-02-14 03:00:00.000,47156.78,49707.43,47014.17,48577.79
1279,2021-02-15 03:00:00.000,48580.47,49010.92,45570.79,47911.1
1280,2021-02-16 03:00:00.000,47911.1,50689.18,47003.62,49133.45
1281,2021-02-17 03:00:00.000,49133.45,52618.74,48947,52119.71
1282,2021-02-18 03:00:00.000,52117.67,52530,50901.9,51552.6
1283,2021-02-19 03:00:00.000,51552.61,56368,50710.2,55906
1284,2021-02-20 03:00:00.000,55906,57700.46,53863.93,55841.19
1285,2021-02-21 03:00:00.000,55841.19,58352.8,55477.59,57408.57
1286,2021-02-22 03:00:00.000,57412.35,57508.47,47622,54087.67
1287,2021-02-23 03:00:00.000,54087.67,54183.59,44892.56,48891
1288,2021-02-24 03:00:00.000,48891,51374.99,46988.69,49676.2
1289,2021-02-25 03:00:00.000,49676.21,52041.73,46674.34,47073.73
1290,2021-02-26 03:00:00.000,47073.73,48424.11,44106.78,46276.87
1291,2021-02-27 03:00:00.000,46276.88,48394,45000,46106.43
1292,2021-02-28 03:00:00.000,46103.67,46638.46,43000,45135.66
1293,2021-03-01 03:00:00.000,45134.11,49790,44950.53,49587.03
1294,2021-03-02 03:00:00.000,49595.76,50200,47047.6,48440.65
1295,2021-03-03 03:00:00.000,48436.61,52640,48100.71,50349.37
1296,2021-03-04 03:00:00.000,50349.37,51773.88,47500,48374.09
1297,2021-03-05 03:00:00.000,48374.09,49448.93,46300,48751.71
1298,2021-03-06 03:00:00.000,48746.81,49200,47070,48882.2
1299,2021-03-07 03:00:00.000,48882.2,51450.03,48882.2,50971.75
1300,2021-03-08 03:00:00.000,50959.11,52402.78,49274.67,52375.17
1301,2021-03-09 03:00:00.000,52375.18,54895,51789.41,54884.5
1302,2021-03-10 03:00:00.000,54874.67,57387.69,53005,55851.59
1303,2021-03-11 03:00:00.000,55851.59,58150,54272.82,57773.16
1304,2021-03-12 03:00:00.000,57773.15,58081.51,54962.84,57221.72
1305,2021-03-13 03:00:00.000,57221.72,61844,56078.23,61188.39
1306,2021-03-14 03:00:00.000,61188.38,61724.79,58966.78,58968.31
1307,2021-03-15 03:00:00.000,58976.08,60633.43,54600,55605.2
1308,2021-03-16 03:00:00.000,55605.2,56938.29,53271.34,56900.75
1309,2021-03-17 03:00:00.000,56900.74,58974.73,54123.69,58912.97
1310,2021-03-18 03:00:00.000,58912.97,60129.97,57023,57648.16
1311,2021-03-19 03:00:00.000,57641,59468,56270.74,58030.01
1312,2021-03-20 03:00:00.000,58030.01,59880,57820.17,58102.28
1313,2021-03-21 03:00:00.000,58100.02,58589.1,55450.11,57351.56
1314,2021-03-22 03:00:00.000,57351.56,58430.73,53650,54083.25
1315,2021-03-23 03:00:00.000,54083.25,55830.9,53000,54340.89
1316,2021-03-24 03:00:00.000,54342.8,57200,51700,52303.65
1317,2021-03-25 03:00:00.000,52303.66,53287,50427.56,51293.78
1318,2021-03-26 03:00:00.000,51293.78,55073.46,51214.6,55025.59
1319,2021-03-27 03:00:00.000,55025.59,56700.36,53950,55817.14
1320,2021-03-28 03:00:00.000,55817.14,56559.75,54691.84,55777.63
1321,2021-03-29 03:00:00.000,55777.65,58405.82,54800.01,57635.47
1322,2021-03-30 03:00:00.000,57635.46,59368,57071.35,58746.57
1323,2021-03-31 03:00:00.000,58746.57,59800,56769,58740.55
1324,2021-04-01 03:00:00.000,58739.46,59490,57935.45,58720.44
1325,2021-04-02 03:00:00.000,58720.45,60200,58428.57,58950.01
1326,2021-04-03 03:00:00.000,58950.01,59791.72,56880,57051.94
1327,2021-04-04 03:00:00.000,57051.95,58492.85,56388,58202.01
1328,2021-04-05 03:00:00.000,58202.01,59272,56777.77,59129.99
1329,2021-04-06 03:00:00.000,59129.99,59495.24,57413.02,57991.15
1330,2021-04-07 03:00:00.000,57990.03,58655,55473,55953.45
1331,2021-04-08 03:00:00.000,55953.44,58153.31,55700,58077.52
1332,2021-04-09 03:00:00.000,58077.52,58894.9,57654,58142.54
1333,2021-04-10 03:00:00.000,58142.55,61500,57900.01,59769.13
1334,2021-04-11 03:00:00.000,59769.13,60699,59232.52,60002.43
1335,2021-04-12 03:00:00.000,59998.8,61300,59350.59,59860
1336,2021-04-13 03:00:00.000,59860.01,63777.77,59805.15,63575
1337,2021-04-14 03:00:00.000,63575.01,64854,61301,62959.53
1338,2021-04-15 03:00:00.000,62959.53,63800,62020,63159.98
1339,2021-04-16 03:00:00.000,63158.74,63520.61,60000,61334.8
1340,2021-04-17 03:00:00.000,61334.81,62506.05,59580.91,60006.66
1341,2021-04-18 03:00:00.000,60006.67,60499,50931.3,56150.01
1342,2021-04-19 03:00:00.000,56150.01,57526.81,54221.58,55633.14
1343,2021-04-20 03:00:00.000,55633.14,57076.24,53329.96,56425
1344,2021-04-21 03:00:00.000,56425,56757.91,53536.02,53787.63
1345,2021-04-22 03:00:00.000,53787.62,55521.48,50500,51690.96
1346,2021-04-23 03:00:00.000,51690.95,52131.85,47500,51125.14
1347,2021-04-24 03:00:00.000,51110.56,51166.22,48657.14,50047.84
1348,2021-04-25 03:00:00.000,50047.84,50567.91,46930,49066.77
1349,2021-04-26 03:00:00.000,49066.76,54356.62,48753.44,54001.39
1350,2021-04-27 03:00:00.000,54001.38,55460,53222,55011.97
1351,2021-04-28 03:00:00.000,55011.97,56428,53813.16,54846.22
1352,2021-04-29 03:00:00.000,54846.23,55195.84,52330.94,53555
1353,2021-04-30 03:00:00.000,53555,57963,53013.01,57694.27
1354,2021-05-01 03:00:00.000,57697.25,58458.07,56956.14,57800.37
1355,2021-05-02 03:00:00.000,57797.35,57911.02,56035.25,56578.21
1356,2021-05-03 03:00:00.000,56578.21,58981.44,56435,57169.39
1357,2021-05-04 03:00:00.000,57169.39,57200,53046.69,53200.01
1358,2021-05-05 03:00:00.000,53205.05,58069.82,52900,57436.11
